,gt_net_load,gt_bss_p_ch,gt_bss_en,gt_load,gt_opr_net_load,gt_peak,gt_forecast
2017-08-19 18:00:00,0.20974640811461373,-0.1397942136053092,1.7347016799847843,0.34255091103965746,0.20275669743434827,0.4100750267952847,0.34255091103965746
2017-08-19 19:00:00,0.18899721473108483,-0.1390710200890147,1.4559615873247373,0.3211146838156488,0.18204366372663408,0.4100750267952847,0.3211146838156488
2017-08-19 20:00:00,0.12181997248586279,-0.17774238807546713,1.1101250647837622,0.29067524115755655,0.11293285308208942,0.4100750267952847,0.29067524115755655
2017-08-19 21:00:00,0.17303602130932536,-0.12022044578146318,0.8825001103505895,0.2872454448017154,0.1670249990202522,0.4100750267952847,0.2872454448017154
2017-08-19 22:00:00,0.1948390740556034,-0.054397409495258536,0.7440207728295976,0.246516613076099,0.19211920358084048,0.4100750267952847,0.246516613076099
2017-08-19 23:00:00,0.18791776357624898,-0.008656542656241628,0.696099573082011,0.19614147909967852,0.1874849364434369,0.4100750267952847,0.19614147909967852
2017-08-20 00:00:00,0.16217296198319806,0.018398345495937,0.7154609732754437,0.1446945337620579,0.1630928792579949,0.4100750267952847,0.1446945337620579
2017-08-20 01:00:00,0.1242875050656683,0.039442931377297985,0.7868844029131867,0.08681672025723522,0.1262596516345332,0.4100750267952847,0.08681672025723522
2017-08-20 02:00:00,0.08148542909151238,0.031168167588854264,0.8812878904823294,0.051875669882100836,0.0830438374709551,0.4100750267952847,0.051875669882100836
2017-08-20 03:00:00,0.0468109016920507,0.021520360217389744,0.976658065927041,0.026366559485530447,0.047886919702920194,0.4100750267952847,0.026366559485530447
2017-08-20 04:00:00,0.027295456387088433,0.02173707994489025,1.0800260027101718,0.0066452304394426995,0.02838231038433295,0.4100750267952847,0.0066452304394426995
2017-08-20 05:00:00,0.030051520758333047,0.031633179745613735,1.2056987977860258,0.0,0.031633179745613735,0.4100750267952847,0.0
2017-08-20 06:00:00,0.05220808983974498,0.048863482620276455,1.355487397291971,0.005787781350482354,0.05465126397075881,0.4100750267952847,0.005787781350482354
2017-08-20 07:00:00,0.11599835676759422,0.11804193249186593,1.590422356884027,0.003858520900321601,0.12190045339218752,0.4100750267952847,0.003858520900321601
2017-08-20 08:00:00,0.10630394676943221,0.10467826742920995,1.835205010557813,0.006859592711682762,0.11153786014089272,0.4100750267952847,0.006859592711682762
2017-08-20 09:00:00,-0.02161760442995809,-0.057504625636769925,1.8729760667669917,0.03301178992497334,-0.024492835711796584,0.4100750267952847,0.03301178992497334
2017-08-20 10:00:00,0.011454542896192035,-0.05676415803898344,1.9294869557270773,0.0653804930332263,0.008616334994242858,0.4100750267952847,0.0653804930332263
2017-08-20 11:00:00,0.03136938514341761,-0.067842684787264,1.9779564032764043,0.09581993569131841,0.02797725090405441,0.4100750267952847,0.09581993569131841
2017-08-20 12:00:00,0.04961664189871218,-0.0858663881181266,2.013884417346654,0.13118971061093243,0.04532332249280584,0.4100750267952847,0.13118971061093243
2017-08-20 13:00:00,0.07494863941422082,-0.09801198107579648,2.0284795132866806,0.16806002143622747,0.070048040360431,0.4100750267952847,0.16806002143622747
2017-08-20 14:00:00,0.11020616039972167,-0.10241738855650703,2.0133232648064445,0.20750267952840334,0.10508529097189631,0.4100750267952847,0.20750267952840334
