,net_load_XGBModel_4 Hours Ahead (kW),tier1_net_load_XGBModel_4 Hours Ahead (kW),tier2_net_load_XGBModel_4 Hours Ahead (kW),bss_p_ch_XGBModel_4 Hours Ahead (kW),bss_en_XGBModel_4 Hours Ahead (kW),opr_net_load_XGBModel_4 Hours Ahead (kW),opr_tier1_load_XGBModel_4 Hours Ahead (kW),opr_tier2_load_XGBModel_4 Hours Ahead (kW),Actual load (kW),energy_prices_dol_kwh
2019-08-03 08:00:00,2.6209738178586313,2.6209738178586313,0.0,1.7547070903775066,1.7547070903775066,1.7547080903775065,1.7547080903775065,0.0,1e-06,0.07148681
2019-08-03 09:00:00,2.6209738178586313,2.6209738178586313,0.0,2.2537525935354012,4.008459683912908,2.9926265675354013,2.6209738178586313,0.3716527496767701,0.738873974,0.07017779
2019-08-03 10:00:00,2.6209738178586313,2.6209738178586313,0.0,1.195729899851191,5.204189583764099,5.222181565851191,2.6209738178586313,2.6012077479925595,4.026451666,0.07164583
2019-08-03 11:00:00,2.6209738178586313,2.6209738178586313,0.0,0.2526780103775068,5.456867594141606,8.573885534377506,2.6209738178586313,5.952911716518875,8.321207524,0.07562154
2019-08-03 12:00:00,2.6209738178586313,2.6209738178586313,0.0,-0.7916774327803879,4.665190161361219,2.529985087219612,2.529985087219612,0.0,3.32166252,0.08061858
2019-08-03 13:00:00,3.6130305831309473,2.6209738178586313,0.992056765272316,-0.5315131567042659,4.133677004656953,4.793627001295734,2.6209738178586313,2.172653183437103,5.325140158,0.08665837
2019-08-03 14:00:00,2.6209738178586313,2.6209738178586313,0.0,-1.7223345685698614,2.411342436087091,3.222518457430138,2.6209738178586313,0.601544639571507,4.944853026,0.09319115
2019-08-03 15:00:00,2.6209738178586313,2.6209738178586313,0.0,-1.2947060012014404,1.1166364348856508,5.6624167267985595,2.6209738178586313,3.041442908939928,6.957122728,0.09563498
2019-08-03 16:00:00,7.481778431,2.6209738178586313,4.860804613141369,4.0,5.116636434885651,14.91600278,2.6209738178586313,12.295028962141368,10.91600278,0.09229265
2019-08-03 17:00:00,8.807376424858631,2.6209738178586313,6.186402607,2.883363565114349,8.0,9.61507026411435,2.6209738178586313,6.994096446255718,6.731706699,0.09459962
2019-08-03 18:00:00,2.6209738178586313,2.6209738178586313,0.0,-2.64872376120144,5.35127623879856,-0.73847320520144,-0.73847320520144,0.0,1.910250556,0.12146863
2019-08-03 19:00:00,2.6209738178586313,2.6209738178586313,0.0,-2.072601074885651,3.278675163912909,2.972012270114349,2.6209738178586313,0.3510384522557177,5.044613345,0.14731378
2019-08-03 20:00:00,2.6209738178586313,2.6209738178586313,0.0,-2.501678223306704,0.7769969406062049,0.35979553069329606,0.35979553069329606,0.0,2.861473754,0.11970532
2019-08-03 21:00:00,3.9011775714241055,2.6209738178586313,1.2802037535654742,-0.7769969406062049,0.0,4.686703968393795,2.6209738178586313,2.0657301505351637,5.463700909,0.10502055
2019-08-03 22:00:00,4.032216072,2.6209738178586313,1.4112422541413685,0.0,0.0,4.373421749,2.6209738178586313,1.752447931141369,4.373421749,0.08722923
2019-08-03 23:00:00,4.202934742,2.6209738178586313,1.5819609241413688,0.0,0.0,2.781385974,2.6209738178586313,0.16041215614136872,2.781385974,0.08131527
2019-08-04 00:00:00,2.969851017,2.6209738178586313,0.3488771991413686,0.0,0.0,2.777697694,2.6209738178586313,0.15672387614136873,2.777697694,0.0796925
2019-08-04 01:00:00,2.207140207,2.207140207,0.0,0.0,0.0,2.967020251,2.6209738178586313,0.34604643314136885,2.967020251,0.0747383
2019-08-04 02:00:00,1.517176747,1.517176747,0.0,0.0,0.0,1.747127865,1.747127865,0.0,1.747127865,0.0728242
2019-08-04 03:00:00,2.6209738178586313,2.6209738178586313,0.0,1.7200856377459277,1.7200856377459277,2.2606211667459277,2.2606211667459277,0.0,0.540535529,0.07056582
2019-08-04 04:00:00,2.6209738178586313,2.6209738178586313,0.0,2.2441007198511906,3.9641863575971183,2.5931062488511905,2.5931062488511905,0.0,0.349005529,0.07117121
2019-08-04 05:00:00,2.6209738178586313,2.6209738178586313,0.0,2.628614133535401,6.59280049113252,2.8333098045354013,2.6209738178586313,0.21233598667677,0.204695671,0.07280654
2019-08-04 06:00:00,-3.7322774709999997,-3.7322774709999997,0.0,-4.0,2.59280049113252,-3.595150388,-3.595150388,0.0,0.404849612,0.09039498
2019-08-04 07:00:00,-2.3100983165758935,-2.3100983165758935,0.0,-2.59280049113252,0.0,-2.43169002013252,-2.43169002013252,0.0,0.161110471,0.07325255
2019-08-04 08:00:00,2.6209738178586313,2.6209738178586313,0.0,2.4763941682722437,2.4763941682722437,2.476395168272244,2.476395168272244,0.0,1e-06,0.07132984
2019-08-04 09:00:00,2.6209738178586313,2.6209738178586313,0.0,1.8241335766932962,4.30052774496554,2.8401085796932963,2.6209738178586313,0.21913476183466507,1.015975003,0.07026864
2019-08-04 10:00:00,3.420301534706843,2.6209738178586313,0.7993277168482118,0.9492809923229926,5.249808737288532,3.6543954143229924,2.6209738178586313,1.0334215964643612,2.705114422,0.07226515
2019-08-04 11:00:00,4.3254156109999995,2.6209738178586313,1.7044417931413682,0.6451541494736839,5.894962886762216,4.238767931473683,2.6209738178586313,1.617794113615052,3.593613782,0.07675932
2019-08-04 12:00:00,4.073529243,2.6209738178586313,1.452555425141369,0.16613910000000054,6.061101986762217,7.0337480470000004,2.6209738178586313,4.41277422914137,6.867608947,0.07868093
2019-08-04 13:00:00,3.597606659000001,2.6209738178586313,0.9766328411413698,-1.709912450526315,4.351189536235902,3.901390929473685,2.6209738178586313,1.2804171116150536,5.61130338,0.0843555
2019-08-04 14:00:00,2.6209738178586313,2.6209738178586313,0.0,-1.794149255938283,2.5570402802976187,3.520571998061717,2.6209738178586313,0.8995981802030859,5.314721254,0.09115256
2019-08-04 15:00:00,2.6209738178586313,2.6209738178586313,0.0,-1.5290057106751247,1.028034569622494,1.9899560423248754,1.9899560423248754,0.0,3.518961753,0.09280161
2019-08-04 16:00:00,3.395435332999999,2.6209738178586313,0.7744615151413679,-0.21281192210526445,0.8152226475172295,3.845605217894736,2.6209738178586313,1.2246314000361047,4.05841714,0.09010251
2019-08-04 17:00:00,7.534397173,2.6209738178586313,4.913423355141369,4.0,4.8152226475172295,6.507454285,2.6209738178586313,3.8864804671413684,2.507454285,0.0854381
2019-08-04 18:00:00,2.6209738178586313,2.6209738178586313,0.0,-0.81522264751723,3.9999999999999996,1.71873291448277,1.71873291448277,0.0,2.533955562,0.10800036
2019-08-04 19:00:00,2.6209738178586313,2.6209738178586313,0.0,-1.760533742254072,2.2394662577459274,1.0462817357459278,1.0462817357459278,0.0,2.806815478,0.13854124
2019-08-04 20:00:00,2.6209738178586313,2.6209738178586313,0.0,-1.279929320148809,0.9595369375971186,0.840337402851191,0.840337402851191,0.0,2.120266723,0.11687516
2019-08-04 21:00:00,2.9924428142827373,2.6209738178586313,0.371468996424106,-0.9595369375971186,0.0,3.3076225864028816,2.6209738178586313,0.6866487685442504,4.267159524,0.1026113
2019-08-04 22:00:00,3.540718317,2.6209738178586313,0.9197444991413688,0.0,0.0,2.782461784,2.6209738178586313,0.16148796614136884,2.782461784,0.08706787
2019-08-04 23:00:00,3.567360401,2.6209738178586313,0.9463865831413689,0.0,0.0,2.289735056,2.289735056,0.0,2.289735056,0.08003619
2019-08-05 00:00:00,3.019700527,2.6209738178586313,0.39872670914136865,0.0,0.0,2.305472976,2.305472976,0.0,2.305472976,0.07615268
2019-08-05 01:00:00,2.002137899,2.002137899,0.0,0.0,0.0,1.311548141,1.311548141,0.0,1.311548141,0.07423464
2019-08-05 02:00:00,1.18544817,1.18544817,0.0,0.0,0.0,0.362932776,0.362932776,0.0,0.362932776,0.07277233
2019-08-05 03:00:00,2.6209738178586313,2.6209738178586313,0.0,1.8930044219564541,1.8930044219564541,2.363166477956454,2.363166477956454,0.0,0.470162056,0.07244551
2019-08-05 04:00:00,2.6209738178586313,2.6209738178586313,0.0,2.459620354588033,4.352624776544487,2.685584047588033,2.6209738178586313,0.06461022972940178,0.225963693,0.07260926
2019-08-05 05:00:00,-0.29304131171726266,-0.29304131171726266,0.0,-0.352624776544487,4.0,-0.021715584544486966,-0.021715584544486966,0.0,0.330909192,0.07624003
2019-08-05 06:00:00,-3.7299667249999997,-3.7299667249999997,0.0,-4.0,0.0,-3.999999,-3.999999,0.0,1e-06,0.08571308
2019-08-05 07:00:00,0.100323461,0.100323461,0.0,0.0,0.0,0.891173554,0.891173554,0.0,0.891173554,0.07601623
2019-08-05 08:00:00,2.6209738178586313,2.6209738178586313,0.0,1.870412505114349,1.870412505114349,3.570587926114349,2.6209738178586313,0.9496141082557177,1.700175421,0.07290022
